128-139GlRpn8,127-133ScRpn8
6.28033,2.78306013
6.57144,2.67155568
7.12788,2.12720408
6.64963,2.15213268
6.47451,2.24365712
6.67435,2.37332518
6.35577,2.15671447
7.08263,2.29029383
6.85113,2.49156245
7.29738,2.19287505
6.59009,2.10595306
7.00497,2.41934533
6.73311,2.63439548
6.08329,2.60126338
6.44324,2.42716743
6.19803,2.33156638
7.59506,2.91248604
7.9173,2.67757715
7.04407,2.45128529
6.47204,2.66920469
6.85982,2.34600203
5.83424,2.26167319
6.82853,2.63950508
6.61977,2.43018912
6.09035,2.81397757
7.04951,2.5368223
6.745,2.62850085
6.95715,2.38406953
7.79051,2.38325102
7.5357,2.18885422
7.60166,2.49396761
6.78136,2.15101016
7.09063,2.85280238
7.47923,2.35504783
8.21467,2.50040083
7.75903,2.71611515
7.3258,2.83400141
6.8393,2.14129883
5.54257,2.86817413
7.30514,2.35973696
7.52963,2.21347618
7.17185,2.8305726
8.24717,2.40483713
7.80314,2.38417422
7.28185,2.14313518
7.53625,2.52645333
8.48243,2.11504592
8.50907,2.14554784
8.48217,2.23494722
7.64141,3.01864933
7.36424,2.4701541
8.24618,2.50807059
7.26753,2.66359594
7.05601,2.15293997
7.09582,2.53591609
8.07944,2.85473056
6.81597,2.58822843
6.30445,2.87846318
5.58574,2.22617343
7.10725,2.1482828
7.53028,2.79668863
6.32792,2.5023338
6.73264,1.83852301
7.5214,2.80048312
7.81162,2.71739219
7.83024,2.36824867
8.71543,2.44090466
7.60131,1.80034524
8.49025,1.98407906
8.54258,2.13103225
8.04808,2.46392628
7.20407,2.49249127
6.87061,1.89530811
7.17872,2.08334342
7.95848,2.69669097
7.49478,2.00328815
7.79598,2.46327995
8.35686,2.24837671
7.45004,1.93600828
8.21918,2.71024026
8.0704,2.17003429
7.48452,2.25994766
7.33481,2.7320136
7.20617,2.44149481
7.25291,2.34088307
7.70618,2.5560705
7.63937,2.27262693
7.78577,2.50279663
6.32854,2.38792393
6.40149,2.71707033
6.80137,2.13301703
5.97191,2.7076412
6.73402,2.24409064
6.15984,3.02229762
7.34522,2.43041866
6.28399,2.10367103
6.51051,1.98261825
6.67224,2.16924759
6.02131,2.29431908
5.78074,2.40730227
6.12368,2.06356461
5.66226,2.16086352
6.50932,2.00417149
6.80991,2.2593536
7.10764,2.22912376
8.13766,2.37303273
7.05607,2.00197728
7.34831,2.03499345
8.28782,2.07242765
8.32565,2.08841608
8.01894,2.22294169
7.93299,2.87889685
7.37036,2.06014691
7.65347,2.39840629
6.64795,2.25662169
6.93327,2.32665238
7.24148,1.96769901
6.64735,2.68549746
7.53384,2.46679359
6.86358,2.49150257
8.14768,2.68897611
5.53681,2.4800406
6.58106,1.99164573
