14-128GlRpn8,16-127ScRpn8
8.5346,8.09202058
6.96438,7.70834578
5.9023,6.78831222
5.99049,8.91842588
6.32371,8.32648008
5.87152,7.54651319
4.73377,7.80564199
7.45278,6.26744755
6.06346,6.14928603
6.84079,8.48154127
8.26264,5.48522643
8.65434,8.65074738
9.82087,5.24530618
9.72249,5.97948654
8.03526,6.53369828
8.55877,7.4542622
7.92025,6.35957714
9.96988,7.39987798
12.2036,8.12514359
12.8312,8.41191082
12.825,8.32001808
11.5275,8.46389358
11.4063,8.66448386
12.6668,8.95605273
12.1914,6.90558285
10.8275,8.60636412
13.4867,8.83172754
13.1071,7.72882266
12.7232,9.1239101
11.0559,9.76886196
11.3071,10.2170743
10.9481,8.58655675
10.9661,8.75234994
11.0969,8.70721901
11.5107,9.69808707
12.5879,9.27740459
13.2833,8.36909719
13.299,9.38976486
12.6794,8.85411594
11.9284,10.2398837
11.6334,8.7201375
11.8293,8.32408044
11.9317,8.22509091
9.68291,7.95155546
12.9319,9.47946713
13.3983,8.40648065
11.8081,6.10549509
11.7154,6.88957662
11.2458,7.16605815
10.2806,5.91372739
10.6875,6.34922761
11.8748,7.05781876
10.6271,8.05519551
12.3315,5.61695338
11.5194,7.20872716
11.7594,6.03168466
10.343,6.55994829
11.5744,6.59551314
10.2789,6.27209947
13.4148,5.95357884
11.9436,6.1103325
12.4762,5.82617655
13.0517,5.326271
12.7403,4.80734495
13.4395,3.60604212
12.5381,3.37418287
15.2552,3.47705666
14.5482,4.30911892
13.9693,4.0431159
12.7946,3.80321082
13.2669,4.88511843
12.9404,4.51663255
13.0239,4.27733235
12.9855,4.73391476
13.7675,4.89905408
12.5734,4.42408347
11.407,4.07143967
11.6125,5.39408656
11.8756,3.6067446
12.6048,3.79393521
11.8864,3.76978319
12.2833,2.88612085
13.7364,4.41867871
12.713,4.13952558
11.8741,5.15365109
11.0704,4.52020553
13.3434,5.38180374
12.6206,4.18146948
13.3135,2.99471737
11.7468,4.28213828
12.0149,3.86504927
13.3229,3.25636741
13.1529,3.99525006
13.6736,3.43600295
10.2175,3.23503713
11.6534,4.55172308
10.5767,3.49080018
9.64886,4.74702068
9.5195,3.88158471
10.9384,5.27174475
11.195,2.98088323
11.3593,2.8255828
9.66413,3.26622348
11.7128,3.09561578
11.4429,4.53514063
11.6147,3.37629253
11.3769,5.06071655
11.859,3.70796438
11.2576,3.75078722
12.1867,2.54646411
11.5684,3.04012435
11.1162,4.33240031
11.5219,4.33080236
12.3974,4.3887905
11.9788,5.18382492
12.0639,4.33611747
13.0412,5.19366514
9.37221,4.54768108
10.8963,4.55155014
11.5523,4.95691357
12.2922,4.06532302
11.6986,5.15590946
11.745,3.88781149
10.4589,4.49839851
10.1497,4.15514825
10.912,4.73354504
11.1167,5.18178907
10.8808,3.98813907
12.0823,5.3644187
9.42358,5.06054236
9.19193,4.81062835
10.522,5.14020971
10.4379,4.10750439
8.19154,4.52266599
9.08597,5.14931367
9.49376,3.8398571
9.12138,2.58820288
9.57326,3.0339981
11.2027,2.45451175
12.3849,4.16192237
12.3048,3.38564971
11.6345,1.85634555
10.7811,3.60138949
11.9889,4.295707
12.5954,3.96387612
12.0248,5.24553875
9.82408,5.11880979
9.72238,4.73243683
10.4446,5.13195902
11.9561,5.25134618
12.6747,4.33526381
13.1351,5.27495473
10.334,4.78227797
10.0274,4.67502215
11.7352,4.40515544
12.6973,4.9494527
11.2278,5.17106424
10.4152,5.1008691
10.4813,4.81476197
11.4473,4.11189077
10.6032,4.87779629
12.3977,4.95230946
12.4387,5.28645489
12.32,4.99464091
13.3637,4.23224621
12.2542,4.74621348
12.801,4.11424675
11.3684,5.28759978
11.5461,4.83237289
11.2318,5.36304207
11.3554,5.77040413
10.5108,5.812828
11.0426,6.07152936
11.5236,5.2916226
11.7908,6.53555712
11.8963,5.93778069
11.4857,4.76595893
10.2971,5.12691155
11.6593,5.25138953
11.0423,5.34699755
10.9724,4.68368033
12.1416,5.3731663
12.7986,5.39457825
