14-139GlRpn8,16-133ScRpn8
7.91748,8.28446994
7.06755,7.90625686
8.59956,6.86943874
8.77758,7.49083172
9.15467,7.93823661
9.30216,7.45049997
9.17784,7.57273933
9.95496,7.54471673
9.2699,7.20186533
9.30862,7.63578204
8.9157,6.76517858
9.21015,7.92695186
9.69507,7.36691415
9.2963,7.75260775
9.6088,7.89958959
9.41555,7.43064741
9.46936,7.76258117
9.28926,6.1109272
9.37031,7.39536216
9.38236,7.68297259
9.66206,7.91865762
9.38592,7.81901668
10.1614,8.6411464
10.0991,8.59087556
10.1135,7.14209288
9.64237,7.99648641
10.4762,8.19802432
10.4758,7.97794616
10.1935,7.75243649
10.6278,8.11271687
9.72528,8.15088937
10.308,7.31930176
9.5394,8.10935555
9.91625,7.76190881
10.2889,8.0454623
10.9618,8.15495353
11.2505,7.63771554
10.7017,7.99303518
9.63536,8.07617611
10.3919,7.93259286
10.041,7.2929774
11.1495,8.03859037
9.93016,8.18577675
9.40753,7.72189374
9.97917,7.65499819
9.67118,7.63115446
10.2532,7.53092853
9.83762,7.44352343
9.90872,7.86425839
9.87233,7.39583488
10.4031,7.44422127
10.7877,8.38459228
10.5226,8.50101999
10.7786,7.72650986
11.3875,9.1881419
10.0652,8.19978476
9.75231,8.26342558
10.3987,8.53710786
10.1005,8.22323467
10.4648,7.69112783
10.8878,7.54031979
10.2301,7.73419262
10.5933,8.48501297
9.30309,7.77084663
10.1581,6.62953376
10.0208,6.69004671
11.1464,6.79153809
9.97922,7.04903944
10.5744,7.34181623
9.95312,7.04583012
10.1206,6.97975122
9.40486,6.21117867
9.99557,6.79931753
9.74581,7.33620076
10.2665,7.91132137
9.86954,7.31582983
10.8905,7.78850541
9.5455,7.8630571
10.2315,6.12554081
10.351,7.09810632
10.9075,7.28747176
10.2105,6.4657807
10.2662,6.87250318
9.08091,6.12815703
10.117,7.07080242
9.41775,8.23409793
9.36485,8.10391043
10.6798,8.42652938
9.98899,7.78770796
10.3566,7.74468939
9.47049,7.10581002
9.37956,7.40976355
9.50528,6.35554672
9.508,6.13722999
9.77502,6.55019074
9.61481,6.51222913
9.00364,6.11914361
8.52683,6.69142893
9.01456,6.24596191
9.30042,8.02749796
10.3204,6.70545507
9.87348,5.69868
9.72455,6.09596385
10.1603,6.23476495
9.43029,7.79802393
9.41962,6.71155365
9.88777,7.36803235
10.3669,6.73241511
9.71992,6.40460798
9.62096,5.46752083
10.0713,5.13642573
9.98394,6.45727079
9.01149,6.23209443
9.91004,6.00588489
9.52058,7.1351514
10.3122,6.35302165
8.55451,8.12017887
9.74628,7.51912426
10.2611,7.81004519
10.2265,7.58064125
10.2107,7.70901973
9.85789,7.80758905
10.6441,7.34034761
9.68535,7.48648242
9.78364,6.97911663
9.8422,7.41532837
9.61774,7.82752184
9.01768,6.52105979
9.18022,7.79203687
9.33489,7.74521021
9.44277,7.43616776
9.25229,7.63869932
9.51044,7.60669254
9.91927,7.22396476
9.08738,7.62197322
9.02584,7.50364201
9.6135,6.35103746
9.09534,7.16552005
9.75806,6.10317938
9.8048,7.03426247
9.29142,7.12635527
10.3827,5.80161918
9.90138,6.56404817
9.97908,7.98509546
9.9368,7.92525012
10.215,8.42338776
9.18416,8.41372382
9.78158,7.65847381
8.85886,7.74869193
9.13246,6.72133543
9.89938,6.92472261
9.89795,8.31174998
9.70482,7.34296468
10.423,7.76889403
9.94476,7.69822089
10.1266,7.47772062
10.0617,7.68277021
9.63318,7.51778524
8.5552,7.38869257
9.23194,7.03548918
10.6505,6.92542764
10.0735,6.96733701
9.6476,7.1817713
10.0521,7.89691686
9.92683,7.29922618
9.39889,7.26732446
10.2411,7.11042784
8.7963,7.93203496
10.6592,7.08717713
8.81548,7.93711242
10.9291,7.73792218
10.5098,7.26569726
8.56504,7.05700607
9.64133,7.12657193
9.39124,8.29415538
9.47263,7.66834621
9.52343,7.71035027
9.30722,7.38540558
9.23858,7.22786979
9.49901,7.03711714
9.76242,6.96453438
10.2886,7.2427667
10.1197,7.27229308
9.33495,7.11002555
10.1743,7.14082302
10.7602,7.55847443
9.4285,7.43132944
9.84296,8.17150949
10.4053,7.81536659
10.7359,8.02704692
10.6274,7.49270368
10.0702,6.86043417
10.1664,7.72850872
9.7457,7.91488601
10.0795,7.54289845
10.4581,7.35637363
9.61123,7.29893712
9.00607,7.46277445
10.2408,9.03878949
9.53387,7.62053227
9.92264,7.74368543
9.54162,7.81343716
9.93683,8.08181687
10.4237,7.77118013
10.3933,8.29390167
9.41579,7.73158262
11.3566,8.09429945
10.1859,8.50490315
10.8779,7.77562253
9.87572,7.4732627
9.85547,8.47718525
9.31188,8.45260561
9.2562,8.27999612
8.15203,8.13763608
7.88891,8.24975929
9.05131,7.76490131
8.75105,7.91304846
8.90652,7.57640708
8.44489,7.66292012
9.10783,8.20712244
8.89945,8.33990252
9.74101,7.66069976
8.24046,6.45926347
10.2666,7.27313995
9.97641,7.75119324
10.3005,8.47902309
9.83641,7.54827357
9.19954,8.61278144
10.3519,7.50249358
10.0156,8.667778
8.91119,7.56275494
9.63409,8.50968944
9.44553,8.5305411
9.54323,7.52256535
9.49995,7.69698586
10.1826,7.48423029
10.0641,7.42073292
9.93034,7.42585975
9.4762,7.34749731
10.4718,8.00227205
8.82985,7.19358693
9.88849,6.23365968
8.92821,6.5643635
9.79864,7.49065423
9.33528,7.37450703
9.47717,6.64745536
9.67865,7.01049887
8.76475,6.43425107
8.86334,7.03844449
9.24288,7.80430369
8.89895,7.37140954
8.63028,7.2063305
8.72122,7.45039743
8.07478,7.41481352
8.76506,7.65871284
8.44907,6.81267637
9.12283,6.68747796
9.83087,8.39724834
9.46161,7.24804616
9.60517,5.85493697
9.70065,5.06017313
9.7696,6.95219594
10.2486,7.76772618
9.27669,6.60376379
10.1481,7.26142666
10.748,7.37499657
8.58092,6.03497757
9.18481,5.46603541
10.2367,6.20904073
10.0521,7.67073924
8.11851,6.46937266
8.60555,6.31102463
8.85574,6.24320485
10.446,6.77468074
10.0509,7.38656685
10.1873,6.35916924
9.56807,6.88061713
9.7751,7.53620581
8.7675,7.59232086
9.75401,8.89961244
9.38483,8.39986369
10.1327,6.41548725
8.76562,7.98294415
10.2281,7.54429543
10.1838,7.60215992
9.90962,7.0342683
9.81246,8.10296576
10.3583,8.27121012
10.3894,8.09348177
9.6861,6.98561907
9.451,7.09671678
9.66686,8.41509064
8.50429,7.03663907
9.14165,6.93376339
10.4065,7.17748747
9.45143,7.81819982
8.5594,8.07293898
8.97449,8.5485433
9.57668,6.9676629
10.1836,7.72759343
8.76225,8.50701162
10.3625,7.79578472
9.39635,8.14259422
9.69826,7.38125362
10.0275,7.69373794
10.2472,8.03128806
9.35173,7.54547743
9.62592,8.16065632
9.06789,6.93060976
9.3295,6.66086613
7.87494,7.20627126
9.1984,7.66123933
9.5797,7.8534641
9.69017,7.13223962
10.042,6.91312726
8.61672,7.11624796
8.34182,7.75963146
9.58138,7.81803694
8.12693,9.2608047
9.39624,8.12169077
8.80706,7.58411128
9.85036,8.27846993
9.83724,7.71568278
9.30079,7.99526608
9.62437,7.5053574
9.79129,7.89173998
9.15343,8.06648899
10.0068,7.80300624
10.531,7.46397402
10.7949,7.62023705
11.2976,7.6852735
9.95208,8.13948954
8.61671,7.23229599
8.83825,8.23765035
9.6813,7.84300828
8.3787,7.52916877
8.25247,7.83049322
8.56929,8.58924667
9.05668,7.96774083
10.8306,8.21580685
9.15145,7.92723027
11.14,8.85005919
10.326,8.60123321
10.1661,7.31440563
8.91524,7.9809027
10.2703,7.66977243
10.765,8.22355903
10.4109,8.31125312
10.1704,7.50817401
10.4656,7.26479061
9.40861,7.50878877
9.87463,7.573835
8.70514,6.75164616
8.56652,6.81278317
8.34213,7.57713426
9.52953,7.37248628
9.58683,8.07160748
8.57535,7.69289524
10.0042,7.63801001
8.85177,6.83733897
9.49313,7.34223511
10.924,7.29481344
10.1194,7.08867948
10.5594,7.16266847
10.1999,8.04641193
10.2631,7.47001498
9.81003,7.84678118
8.68071,7.98380224
9.15237,7.59986265
8.59887,7.22225445
10.1974,6.62717411
9.88676,6.3213633
10.0291,7.42158498
8.84151,7.05144005
10.104,7.16820754
8.58888,8.3352392
10.2396,8.31886479
10.963,7.51418194
10.2092,7.78252832
9.76201,7.44052868
9.77526,7.59448234
8.65218,7.61653484
9.82412,7.27550861
9.53272,7.39193205
9.89376,6.85616106
9.69308,7.59108708
9.23069,6.87317477
7.74738,7.13497113
8.90913,6.98315832
9.71166,7.22316333
9.10225,6.79665407
9.81874,7.6938127
7.81061,7.76339989
9.29657,7.4191869
8.72698,6.32029145
9.13978,7.74151504
8.16563,7.32239314
9.10529,7.83350574
9.16298,8.30398077
10.2476,7.71835024
8.79886,8.34592196
8.54558,7.78469483
9.31466,7.97844189
10.0586,7.84993231
10.0377,7.12343602
8.85523,7.36710758
9.66776,7.13122778
9.94745,6.94930471
8.40729,7.88551922
9.37732,7.13726715
9.21723,7.73810456
9.03031,8.01317715
9.14973,7.59326294
9.71924,8.61885911
9.72742,7.96008881
10.0443,7.58822422
9.79606,8.61060903
9.82909,7.75160459
9.94729,6.98420253
9.36835,8.29663909
9.49982,8.1176882
10.0385,8.0964749
10.4116,7.69438466
10.4728,7.83693562
10.3901,8.00863267
10.7812,8.48085062
9.51509,7.83559314
10.5789,8.11869394
10.8652,7.56970867
10.4032,8.16885606
10.8226,8.07020132
11.0967,7.73037912
10.5285,7.94885757
11.0116,8.23996979
10.9875,8.21897964
9.68093,7.7509964
9.36199,7.44440712
10.2099,7.97172192
10.734,7.7089798
9.75452,7.55473309
8.90549,7.62178041
10.4585,7.53254608
8.83205,7.91064978
9.67597,7.9003897
9.21165,8.02124229
9.12735,8.33688569
9.67054,8.15433654
9.09029,8.09488941
9.14271,8.36793261
9.85246,8.50038334
10.1081,8.01322109
10.4851,9.10565079
10.8162,7.99990054
10.6057,7.89881919
10.8037,9.06270091
10.4911,8.60634005
10.7374,7.78375234
10.6353,9.10593463
11.1884,8.80300649
10.9082,8.37234814
10.8045,7.76273481
10.5831,7.7149868
10.9367,8.25926651
11.404,9.40749555
10.6284,8.59722092
11.4841,8.25428962
9.75329,8.55877849
10.4822,8.36487834
10.1942,8.14557625
10.3827,7.4432647
10.3622,8.06450436
10.8283,8.02183153
10.7741,7.34669204
10.6362,7.84409577
11.6258,7.97633997
10.2994,8.02984222
